메뉴 이름,한식,중식,일식,양식,아시안,멕시칸,매운 맛,단 맛,신 맛,짠 맛,느끼함,비건,혼밥
문어숙회,O,,,,,,,,,,,,O
참치회,,,O,,,,,,,,,,
파니니,,,,O,,,,,,,,,O
두부조림,O,,,,,,O,,,O,,O,O
토란국,O,,,,,,,,,,,O,O
찹스테이크,,,,O,,,,,,,O,,
시카고피자,,,,O,,,,,,O,O,,
랍스타,,,,O,,,,,,,,,
잠발라야,,,,O,,,,,,,,,O
파에야,,,,O,,,,,,,,,O
순대,O,,,,,,,,,,,,O
잡채,O,,,,,,,,,,,,O
돼지불백,O,,,,,,,O,,O,,,O
떡만두국,O,,,,,,,,,,,,O
산낙지,O,,,,,,,,,,,,
초계국수,O,,,,,,,,,,,,O
과메기,O,,,,,,,,,O,,,
꽁치조림,O,,,,,,O,,,O,,,O
꽁치구이,O,,,,,,,,,O,,,O
매운탕,O,,,,,,O,,,O,,,
꼼장어양념구이,O,,,,,,O,,,O,,,
민어회,O,,,,,,,,,,,,
술국,O,,,,,,O,,,O,,,O
닭개장,O,,,,,,O,,,O,,,O
연포탕,O,,,,,,,,,,,,O
불낙전골,O,,,,,,O,,,O,,,
마라샹궈,,O,,,,,O,,,O,,,
라즈지,,O,,,,,O,,,O,,,
지삼선,,O,,,,,,,,,,O,
카오위,,O,,,,,O,,,O,,,
나폴리탄,,,O,,,,,,,,O,,
캘리포니아롤,,,O,,,,,,,,,,
규카츠,,,O,,,,,,,,O,,
카나페,,,,O,,,,,,,,O,O
스팸 무스비,,,O,O,,,,,,,,,O
돼지 껍데기,O,,,,,,,,,,O,,
